1 abacus   n. 算盘
1674 ignore  v. 不顾,不理,忽视

1675 illegal  a. 不合法的,非法的

1676 image  n. 图像,影像,肖像,想像

1677 imaginary  a. 想象的,虚构的

1678 imaging  成像

1679 imaging system  成像系统

1680 imbedded  嵌入的

1681 immediate  a. 立即的,即刻的,直接的,最接近的

1682 impact  n. 冲击,冲突,影响; v. 挤入,撞击,对...发生影响

1683 impact paper  复写纸，压敏纸

1684 impact printer  击打式打印机

1685 impedance  阻抗

1686 imperative  n. 命令,诫命,需要; a. 命令式的,急需的

1687 impingement  冲击

1688 implement  n. 工具,器具; vt. 实现,执行,使...生效

1689 implementation  n. 安装启用,实行,履行; ; 工具

1690 implements  n.工具

1691 implication  n. 暗示,含意

1692 implicit  a. 暗示的,盲从的; [计算机] 隐式

1693 implicit declaration  隐式说明

1694 implied  v. 意思是(包含); a. 储蓄的

1695 implosion  n. 内爆(从外向内的压力作用)

1696 import  n. 进口; v. 进口,输入; vt. 输入,进口

1697 importer  n.进口商

1698 improper  a. 不合适的,错误的,不道德的

1699 improve  v. 改良,改善,增进,提高

1700 impulse  n. 冲动; v. 推动

1701 inaccessible  a. 难接近的,难达到的,难达成的

1702 inaccuracy  不准确度,错误

1703 inactive  a. 不活动的,停止的,怠惰的; [计算机] 不活动的

1704 inactive file  待用文件

1705 inactive window  非活动窗口

1706 inbound  a. 回内地的,归本国的; [计算机] 入站

1707 inbox  收件箱

1708 include  v. 包括,包含,连...在内; [计算机] 包括

1709 include columns  包含列
1710 include file  包含文件

1711 include rows  包含行

1712 include subdirectories  包含子目录

1713 inclusive  a. 包含...在内的; [计算机] 包括的

1714 incoherence  非相关性

1715 incoming  a. 引入的(入射的,增殖的); n. 进来(来到,收入)

1716 incompatibility  n. 不两立,不相容

1717 incompatible  a. 不相容的,不能并存的,矛盾的

1718 incorporate  a. 合并的,公司组织的,具体化的; v. 合并,组成公司,具体表现

1719 incorrect  a. 不正确的,错误的

1720 increase  n. 增加,增强,提高; v. 增加,提高

1721 increase font size  放大字体

1722 increase speed  加速

1723 increasing  vbl. 增加

1724 increment  n. 增加(增加物,增量,余差)

1725 indefinite  a. 模糊的,不确定的,无限的

1726 indefinitely  adv．不确定地

1727 indent  n. 契约,订货单; v. 切割成锯齿状,缩排,定货; [计算机] 缩排

1728 indentation  n. 刻痕(印压,缩进,曲折岸)

1729 indention  缩排,定货

1730 independent  a. 独立的,自主的; n. 独立派人士,无党派者

1731 independently  ad. 独立地,自立地

1732 index  n. 索引,指针,指数; v. 编入索引中,指出

1733 indicate  v. 显示,象征,指示; v.指明,表明

1734 indicator  n. 指示器,指示剂; [计算机] 指示符

1735 indirect   a. 间接的,迂回的

1736 indirection  间接

1737 indirectly  ad. 间接地

1738 individual  a. 个别的; n. 个人,个体

1739 individually  ad. 个别地

1740 induction  n. 感应,感应现象; 归纳法

1741 industrial  a. 工业的,产业的

1742 industry  n. 工业,产业,勤勉,刻苦

1743 inexperienced  a. 无经验的,不熟练的

1744 infected  被感染的

1745 inference  n. 推论

1746 inferiors  下级的，差的

1747 infinite  a. 无限的,无穷的; n. 无限

1748 infinity  n. 无限大,无限

1749 infix  插入

1750 info  信息,情报

1751 info window  信息窗口

1752 inform  v. 告诉,通知; vi. 检举,告发; vt. 通知,告诉,向...报告

1753 information  n. 信息

1754 inherit  v. 继承

1755 inheritance  n. 遗传,遗产

1756 inhibit  v. 禁止,抑制; [计算机] 禁止

1757 inhibited  a. 羞怯的, 内向的

1758 inhibition  n. 禁止,禁制,压抑

1759 initial  n. 词首大写字母; a. 开始的,最初的,字首的; v. 签姓名的首字母

1760 initialization  n. 初始化,赋初值

1761 initialize  v. 初始化

1762 initially  ad. 最初,开头

1763 initiate  n. 入会,开始; a. 新加入的; vt. 开始,创始,启蒙

1764 initiator  n. 创始者,首倡者,发起人

1765 injection  n. 注射

1766 ink  n. 墨水

1767 ink effect  油墨效果

1768 ink-jet printer  喷墨打印机

1769 inline  在线的,联机的

1770 input  n. 输入

1771 inquiry  n. 打听,询问,调查,查问

1772 Ins  insert 插入键

1773 inscriber  记录器

1774 insert  n. 插入物; v. 插入

1775 insertion point  插入点

1776 inside  a. 里面的; ad. 在里面; n. 内部; prep. 在...里面

1777 inspection  n. 检查,视察

1778 install  v. 安装,安置,使...就职; n.[计算机] 安装,DOS命令 : 装入结束且驻留软件

1779 installation  n. 安装,装置

1780 instance  n. 例子; v. 举...为例,举例说明

1781 instant  n. 立即,瞬间; a. 立即的,即时的

1782 instant jump  即时跳转

1783 instantiate  实例化,例示

1784 instead  ad. 代替,顶替

1785 instruct  v. 教,命令,指导; [计算机] 指示

1786 instruction  n. 说明,须知,指令,教学

1787 instruction book  说明书

1788 instrument  n. 乐器,工具,仪器,器械

1789 instrumentation  仪表化,使用仪器

1790 insufficient  a. 不足的

1791 insulation  n. 隔离,孤立,绝缘

1792 insure  v. 保险,确保,投保...险

1793 integer  n. 完整的事物,整体,整数; [计算机] 整数

1794 integrate  v. 整合,使...成整体; a. 真诚的

1795 integrated  a. 整合的; v. 整合; vbl. 整合

1796 integrator  积分器

1797 integrity  n. 诚实,正直,完整,完善

1798 intellect  n. 智力，思维逻辑领悟力，理解力/nn. 知识份子，智力高的人，才智超群的人

1799 intelligence  n. 理解力,智力; n. 情报,情报工作,情报机关

1800 intelligent  a. 聪明的,智能的

1801 intend  v. 打算; vt. 想要,打算,计划

1802 intense  a. 非常的,强烈的,紧张的,热情的

1803 intensity  n. 激烈,强度,强烈,剧烈

1804 interaction  n. 相互作用,相互影响

1805 interactive  [计算机] 交互的

1806 interactive TV  交互式电视

1807 interactive video  交互式视频

1808 intercept  n. 截取,妨碍,截距; v. 拦截,阻止,截取; [计算机] 截断

1809 intercepting  截取


1810 interchange  n. 立体交叉道,互换; v. 交换,互换; [计算机] 互换

1811 interest  n. 兴趣,嗜好,利息; v. 使...感兴趣

1812 interface  n. 界面,接触面; [计算机] 界面,接口

1813 interfere  v. 妨碍,冲突,干涉

1814 interference  n. 冲突,干涉; [计算机] 于涉

1815 interior  a. 内部的,内地的,国内的,在内的; n. 内部

1816 interlace  v. 使交织,使组合,使交错

1817 interleave  交错,隔行扫描,插入纸

1818 interleave factor  交错因子

1819 interlink  链接

1820 interlock  v. 连结,连锁

1821 intermediate  a. 中级的,中间的; n. 中间体,媒介物

1822 intermittent  a. 间歇的,断断续续的

1823 intern  n. 实习医师

1824 internal  a. 国内的,内部的

1825 international  a. 国际的

1826 internationalization  [计算机] 国际化

1827 Internet  n. 因特网

1828 internet protocol  互联网协议

1829 internet protocol address  互联网协议地址

1830 interoperability  互操作性,互用性

1831 interoperable  彼此协作的

1832 interpret  v. 解释,演出,翻译; [计算机] 解释

1833 interpreter  n. 译员,口译者

1834 interrelated  相关的

1835 interrupt  n. 中断; v. 打断,妨碍,插嘴; [计算机] 中断

1836 intersection  n. 交集,十字路口,交叉点; [计算机] 交集

1837 interval  n. 间隔

1838 intervene  v. 插入,调停,干涉; [计算机] 介入

1839 intervention  n. 插入,介入,调停

1840 intranet  企业网,专用网

1841 intro  简介

1842 introduce  v. 介绍

1843 introduction  n. 介绍

1844 invalid  a. 无效的,伤残的; n. 病人,残疾者

1845 invariant  不变的,不变量

1846 invent  v. 发明; vt. 发明,创造

1847 inventory  n. 详细目录,存货清单

1848 inverse  a. 相反的,倒转的

1849 inverse video  反视频

1850 invert  a. 转化的; v. 反转,颠倒; [计算机] 反置

1851 investigate  v. 调查,研究; [计算机] 研究

1852 invisible  a. 看不见的,无形的

1853 invoice  n. 发票,发货单,货物; v. 开发票,记清单

1854 invoke  [计算机] 调用

1855 involve  v. 包含,含有,使陷入,使卷入,牵涉

1856 involved  v. 涉及(包含,遍及,占用,促成,自乘); a. 所包含的(形式复杂的)

1857 ion deposition  离子沉淀

1858 IP  (internet protocol)互联网协议

1859 iris  n. 虹膜,鸢尾属植物,彩虹之女神

1860 IRQs  (interrupt requests)终端请求

1861 ISA  工业标准结构

1862 ISDN  综合业务数字网

1863 I-shape cursor  I型光标

1864 isolation  n. 隔离,孤立

1865 isometric view  等距视图

1866 issue  n.发行物,期刊号,争论点; v. 发行,流出,造成...结果

1867 italic  a. 斜体的

1868 item   n. 项目,条款

1869 iterate  v. 重做,反复重申; vt. 反复申说

1870 iteration  迭代(法),循环,重复

1871 iterative  迭代的,重复的

1872 jack  n. 插座,千斤顶,男人; v. 抬起,提醒,扛举; n. 杰克

1873 jaggies  锯齿，锯齿状图形

1874 jam  n. 果酱,拥塞之物,堵塞; v. 挤,塞满,混杂

1875 jitter  n. 振动(信号的不稳定性); vt 散开(极为紧张)

1876 joggle  v. 轻摇,摇动,摇曳; n. 轻摇,摇动,臼合

1877 join  v. 参加,结合,加入

1878 journal  n. 日记,杂志,日报

1879 journaling  日志，日记

1880 joystick  控制杆,游戏杆

1881 joystick port  游戏杆端口

1882 jukebox  自动电唱机

1883 jump  n. 跳跃,跳动,上涨; v. 跳越,跃过,突升

1884 jump operation  转移操作

1885 jumper  n. 跳跃者, 跳高运动员, 跳跃的动物, 妇女穿的套头外衣, 海员的上衣, 工作服

1886 junction  n. 联接,会合处,交叉点

1887 justification  n. 辩护,证明正当,释罪; [计算机] 对齐

1888 justify  v. 替...辩护,证明,证明正当; [计算机] 调整

1889 kanji  日本汉字

1890 katakana  片假名

1891 KB  (KiloByte)1024字节

1892 keep  n. 生计,维持; v. 保持,保存,维持

1893 kern  紧排

1894 kernel  n. 核心,中心,精髓; [计算机] 核心

1895 kerning  字距调整

1896 key  a. 主要的,关键的; n. 钥匙; vt. 键入

1897 key combination  组合键

1898 key frame  关键帧

1899 key in  键入

1900 key name  键名

1901 keycaps  键罩，键帽

1902 keyed  键控的,键入

1903 keypad  小键盘

1904 keypunch  键控穿孔(机)

1905 keystroke  [计算机] 击键

1906 keyword  关键字

1907 keyword index  关键字索引

1908 kill  n. 杀,杀戮; v. 杀,破坏,消减

1909 killer  n. 瞄准器(扼杀剂,消光杂质,屠刀,杀人者

1910 kilo  n. 公斤公里之略

1911 kilobyte  n. 千字节

1912 kilogram  n. 千克,公斤

1913 kilometer  n. =kilometre 公里

1914 kilowatt  n. 千瓦

1915 kiosk  n. 亭,凉亭,报摊

1916 kit  n. 装备,工具箱; v. 装备

1917 kludge  杂牌电脑,组装计算机

1918 knob  n. 把手,瘤

1919 label  n. 标签,签条,商标; v. 贴标签于,分类; n.[计算机]标记, DOS命令 : 加上或修改磁盘的标签

1920 label field  标签字段

1921 label record  标签记录

1922 labeled  有标签的

1923 labor  n. 工作,劳动,劳力,劳方; v. 苦干,劳动,分娩,阵痛; vi. 工作

1924 laboratory  n. 实验室;实验大楼

1925 lag  n. 落后,滞后; v. 落后; vi. 走得慢,落后

1926 LAN server  局域网服务器

1927 landscape  n. 风景,山水,风景画; v. 美化…的景观,进行造园工程

1928 language  n. 语言

1929 laptop computer  膝上型计算机

1930 large button  放大按钮

1931 large model  大模式

1932 laser  n. 激光

1933 laser diode  激光二极管

1934 laser disc  光盘

1935 Laser Disk  光盘

1936 laser printer  激光打印机

1937 latch  n. 门闩; v. 上闩

1938 latency  n. 潜伏,潜在

1939 launch   n.&v. 下水,发射,开始,升天,汽艇

1940 layer  n. 层

1941 layout  n. 布局,安排,设计

1942 leaders  前导字符

1943 leading  n. 领导,疏导,铅板; a. 领导的,主要的,在前的; vbl. 领导,引领,以铅接合; [计算机] 行间空白

1944 leaf  n. 叶,树叶,花瓣; v. 生叶,翻...的页

1945 learning curve  学习曲线

1946 leased  租用的

1947 leave  离开,告假,遗留,听任

1948 leaves  n. 树叶,花瓣; v. 离开,出发,留下

1949 led  lead的过去式(分词); (light emitting diode)发光二极管

1950 left  a. 左边的; ad. 向左; n. 左边; vt. 将...留在...

1951 left indent  左端缩进

1952 left justify  左对齐

1953 left section  左部

1954 legal  a. 法律的,合法的,法定的

1955 legend  n. 传说,传奇

1956 lending  n. 借贷,借贷物,借来的衣服; a. 借贷的; vbl. 借

1957 letter  n. 信,字母

1958 letter row  字母行

1959 level  n. 水平,水准,标准; a. 同高的,平坦的,齐平的; v. 弄平,瞄准,对准

1960 lever   n. 杠杆,似杠杆之工具; v. 撬开,使用杠杆

1961 lexical  a. 字典的,语句的

1962 lexicon  n. 辞典,语典

1963 LF  (line feed)换行

1964 liabilities  n.负债

1965 librarian  n. 图书管理员

1966 library  n. 图书馆

1967 licensed  a. 得到许可的; v. 许可; vbl. 许可

1968 life cycle  生命周期

1969 ligature  n. 绳,索,缚带; v. 缚,捆,结扎

1970 light  n. 光,光亮,灯; a. 轻的,光亮的,容易的; v. 点燃,著火,变亮

1971 limit  n. 限度,限制; vt. 限制,限定

1972 limitation  n. 限制

1973 limited  a. 有限的; Limited公司(财富500强公司之一，总部所在地美国,主要经营零售)

1974 limiter  限幅器

1975 line  n. 行,线,航线; v. 排成一行,顺...排列,划线于

1976 line feed  换行，走行

1977 line space  行间距

1978 line spacing  行距

1979 linearity  线性,直线性

1980 linefeed  换行

1981 link  n. 环节,联系; v. 连接,联系

1982 linker  [计算机] 链接器

1983 list  n. 目录,名单,明细表; v. 列出,列于表上,记入名单内

1984 list box  列表框

1985 listen  v. 听

1986 listening  收听,收听的,注意的

1987 listing  [计算机] 清单

1988 literal  a. 逐字的,字面上的,文字的; [计算机] 文字的

1989 live  a. 活的,生动的,精力充沛的,直播的; v. 活,居住,过著

1990 live operation  有效操作

1991 live time  使用期限








1997 locale  n. 现场,场所

1998 localization  n. 局限,地方分权,地方化

1999 locally  ad. 地方性地,局部性地,位置上

2000 locate  v. 找出,设于,位于

2001 locator  定位器

2002 lock  n. 锁,刹车,水闸; v. 锁,上锁,拘禁; [计算机] 锁定

2003 lock a file  锁定文件

2004 lock onto  锁定

2005 locking  锁定,捕捉

2006 lockout  闭锁,切断,同步损失

2007 lockup  锁定,闭

2008 log  n. 记录,圆木,日志; v. 伐木,切,航行
